gene_id	colors
GRMZM2G007038	yellow
GRMZM2G007055	magenta
GRMZM2G007130	turquoise
GRMZM2G007160	green
GRMZM2G007195	black
GRMZM2G007256	turquoise
GRMZM2G007267	brown
GRMZM2G007288	pink
GRMZM2G007306	pink
GRMZM2G007324	magenta
GRMZM2G007399	turquoise
GRMZM2G007441	turquoise
GRMZM2G007486	yellow
GRMZM2G007587	lightcyan
GRMZM2G007647	blue
GRMZM2G007675	cyan
GRMZM2G007729	blue
GRMZM2G007791	magenta
GRMZM2G007801	turquoise
GRMZM2G007854	blue
GRMZM2G007907	red
GRMZM2G007928	blue
GRMZM2G007953	turquoise
GRMZM2G007957	blue
GRMZM2G007969	tan
GRMZM2G007981	cyan
GRMZM2G008072	turquoise
GRMZM2G008095	midnightblue
GRMZM2G008106	magenta
GRMZM2G008166	turquoise
GRMZM2G008202	turquoise
GRMZM2G008226	turquoise
GRMZM2G008234	turquoise
GRMZM2G008263	blue
GRMZM2G008290	grey
GRMZM2G008305	black
GRMZM2G008326	magenta
GRMZM2G008327	blue
GRMZM2G008367	blue
GRMZM2G008406	turquoise
GRMZM2G008558	midnightblue
GRMZM2G008593	turquoise
GRMZM2G008691	turquoise
GRMZM2G008726	turquoise
GRMZM2G008728	midnightblue
GRMZM2G008892	turquoise
GRMZM2G008919	black
GRMZM2G009019	pink
GRMZM2G009025	turquoise
GRMZM2G009049	black
GRMZM2G009155	black
GRMZM2G009163	grey
GRMZM2G009188	black
GRMZM2G009223	turquoise
GRMZM2G009265	yellow
GRMZM2G009335	yellow
GRMZM2G009344	green
GRMZM2G009387	yellow
GRMZM2G009478	green
GRMZM2G009555	greenyellow
GRMZM2G009591	blue
GRMZM2G009715	turquoise
GRMZM2G009719	pink
GRMZM2G009761	green
GRMZM2G009776	yellow
GRMZM2G009785	blue
GRMZM2G009804	turquoise
GRMZM2G009843	black
GRMZM2G009869	black
GRMZM2G009894	brown
GRMZM2G009901	green
GRMZM2G010000	red
GRMZM2G010037	brown
GRMZM2G010142	blue
GRMZM2G010274	turquoise
GRMZM2G010348	brown
GRMZM2G010349	turquoise
GRMZM2G010433	red
GRMZM2G010439	turquoise
GRMZM2G010447	turquoise
GRMZM2G010460	turquoise
GRMZM2G010490	blue
GRMZM2G010491	turquoise
GRMZM2G010657	yellow
GRMZM2G010664	midnightblue
GRMZM2G010693	red
GRMZM2G010745	turquoise
GRMZM2G010765	blue
GRMZM2G010783	red
GRMZM2G010868	pink
GRMZM2G010884	turquoise
GRMZM2G010909	blue
GRMZM2G010929	grey
GRMZM2G010937	turquoise
GRMZM2G010941	blue
GRMZM2G010960	grey
GRMZM2G010991	brown
GRMZM2G011050	black
GRMZM2G011071	turquoise
GRMZM2G011110	turquoise
GRMZM2G011132	turquoise
GRMZM2G011136	turquoise
GRMZM2G011140	turquoise
GRMZM2G011213	turquoise
GRMZM2G011218	turquoise
GRMZM2G011233	turquoise
GRMZM2G011253	magenta
GRMZM2G011269	turquoise
GRMZM2G011401	tan
GRMZM2G011463	black
GRMZM2G011479	blue
GRMZM2G011483	turquoise
GRMZM2G011523	magenta
GRMZM2G011541	grey
GRMZM2G011592	tan
GRMZM2G011627	blue
GRMZM2G011708	turquoise
GRMZM2G011733	brown
GRMZM2G011743	blue
GRMZM2G011915	magenta
GRMZM2G011932	red
GRMZM2G012041	yellow
GRMZM2G012044	blue
GRMZM2G012174	yellow
GRMZM2G012176	turquoise
GRMZM2G012233	turquoise
GRMZM2G012263	green
GRMZM2G012276	turquoise
GRMZM2G012324	turquoise
GRMZM2G012391	red
GRMZM2G012397	turquoise
GRMZM2G012404	red
GRMZM2G012636	turquoise
GRMZM2G012761	midnightblue
GRMZM2G012841	brown
GRMZM2G012966	red
GRMZM2G012970	blue
GRMZM2G012989	yellow
GRMZM2G013002	green
GRMZM2G013128	turquoise
GRMZM2G013152	brown
GRMZM2G013176	salmon
GRMZM2G013206	turquoise
GRMZM2G013255	turquoise
GRMZM2G013271	yellow
GRMZM2G013342	turquoise
GRMZM2G013357	magenta
GRMZM2G013430	green
GRMZM2G013448	tan
GRMZM2G013457	turquoise
GRMZM2G013463	purple
GRMZM2G013465	midnightblue
GRMZM2G013471	turquoise
GRMZM2G013650	turquoise
GRMZM2G013677	blue
GRMZM2G013794	purple
GRMZM2G013798	turquoise
GRMZM2G013949	turquoise
GRMZM2G013960	red
GRMZM2G014009	purple
GRMZM2G014106	yellow
GRMZM2G014212	blue
GRMZM2G014240	brown
GRMZM2G014328	grey
GRMZM2G014356	turquoise
GRMZM2G014409	turquoise
GRMZM2G014427	turquoise
GRMZM2G014444	brown
GRMZM2G014452	turquoise
GRMZM2G014499	red
GRMZM2G014653	yellow
GRMZM2G014720	turquoise
GRMZM2G014770	red
GRMZM2G014826	blue
GRMZM2G014844	blue
GRMZM2G014872	yellow
GRMZM2G014902	blue
GRMZM2G014914	magenta
GRMZM2G014955	grey
GRMZM2G014977	blue
GRMZM2G015033	blue
GRMZM2G015049	brown
GRMZM2G015080	tan
GRMZM2G015219	turquoise
GRMZM2G015285	turquoise
GRMZM2G015314	turquoise
GRMZM2G015409	midnightblue
GRMZM2G015419	turquoise
GRMZM2G015502	cyan
GRMZM2G015605	turquoise
GRMZM2G015666	turquoise
GRMZM2G015708	magenta
GRMZM2G015709	black
GRMZM2G015739	red
GRMZM2G015792	turquoise
GRMZM2G015793	magenta
GRMZM2G015854	yellow
GRMZM2G015921	yellow
GRMZM2G015941	grey
GRMZM2G015955	blue
GRMZM2G015967	blue
GRMZM2G015983	green
GRMZM2G016066	turquoise
GRMZM2G016088	turquoise
GRMZM2G016210	black
GRMZM2G016232	brown
GRMZM2G016275	salmon
GRMZM2G016290	turquoise
GRMZM2G016480	blue
GRMZM2G016622	turquoise
GRMZM2G016637	turquoise
GRMZM2G016677	turquoise
GRMZM2G016734	green
GRMZM2G016744	tan
GRMZM2G016819	blue
GRMZM2G016890	green
GRMZM2G016923	blue
GRMZM2G016958	red
GRMZM2G017013	turquoise
GRMZM2G017080	red
GRMZM2G017087	greenyellow
GRMZM2G017110	black
GRMZM2G017113	yellow
GRMZM2G017159	yellow
GRMZM2G017164	blue
GRMZM2G017290	blue
GRMZM2G017388	tan
GRMZM2G017400	turquoise
GRMZM2G017409	blue
GRMZM2G017414	turquoise
GRMZM2G017419	turquoise
GRMZM2G017486	magenta
GRMZM2G017528	blue
GRMZM2G017555	turquoise
GRMZM2G017606	green
GRMZM2G017643	turquoise
GRMZM2G017682	salmon
GRMZM2G017736	brown
GRMZM2G017802	black
GRMZM2G017815	red
GRMZM2G017845	turquoise
GRMZM2G017882	red
GRMZM2G017894	yellow
GRMZM2G018070	turquoise
GRMZM2G018126	blue
GRMZM2G018223	purple
GRMZM2G018238	brown
GRMZM2G018280	black
GRMZM2G018336	red
GRMZM2G018372	turquoise
GRMZM2G018403	turquoise
GRMZM2G018414	green
GRMZM2G018424	turquoise
GRMZM2G018441	yellow
GRMZM2G018487	blue
GRMZM2G018573	green
GRMZM2G018579	red
GRMZM2G018586	blue
GRMZM2G018728	brown
GRMZM2G018756	cyan
GRMZM2G018770	brown
GRMZM2G018786	turquoise
GRMZM2G018793	pink
GRMZM2G018806	green
GRMZM2G018820	yellow
GRMZM2G018823	pink
GRMZM2G018929	turquoise
GRMZM2G018946	green
GRMZM2G018992	brown
GRMZM2G019056	turquoise
GRMZM2G019137	yellow
GRMZM2G019257	salmon
GRMZM2G019260	yellow
GRMZM2G019266	turquoise
GRMZM2G019291	blue
GRMZM2G019307	blue
GRMZM2G019317	turquoise
GRMZM2G019335	turquoise
GRMZM2G019353	tan
GRMZM2G019356	pink
GRMZM2G019358	blue
GRMZM2G019404	magenta
GRMZM2G019413	red
GRMZM2G019567	turquoise
GRMZM2G019612	magenta
GRMZM2G019641	turquoise
GRMZM2G019686	pink
GRMZM2G019806	turquoise
GRMZM2G019807	turquoise
GRMZM2G019863	cyan
GRMZM2G019907	blue
GRMZM2G019958	blue
GRMZM2G020008	blue
GRMZM2G020016	grey
GRMZM2G020054	blue
GRMZM2G020091	yellow
GRMZM2G020096	turquoise
GRMZM2G020146	salmon
GRMZM2G020148	pink
GRMZM2G020150	green
GRMZM2G020156	magenta
GRMZM2G020231	green
GRMZM2G020468	greenyellow
GRMZM2G020500	black
GRMZM2G020508	black
GRMZM2G020645	blue
GRMZM2G020676	red
GRMZM2G020740	brown
GRMZM2G020742	blue
GRMZM2G020772	turquoise
GRMZM2G020785	blue
GRMZM2G020840	red
GRMZM2G020843	turquoise
GRMZM2G020940	grey
GRMZM2G020943	green
GRMZM2G020976	salmon
GRMZM2G021106	green
GRMZM2G021301	turquoise
GRMZM2G021406	pink
GRMZM2G021459	turquoise
GRMZM2G021498	turquoise
GRMZM2G021573	turquoise
GRMZM2G021610	black
GRMZM2G021624	black
GRMZM2G021687	turquoise
GRMZM2G021729	turquoise
GRMZM2G021777	turquoise
GRMZM2G021794	brown
GRMZM2G021822	brown
GRMZM2G021877	turquoise
GRMZM2G021885	turquoise
GRMZM2G021912	turquoise
GRMZM2G022101	pink
GRMZM2G022130	turquoise
GRMZM2G022242	red
GRMZM2G022253	brown
GRMZM2G022266	brown
GRMZM2G022298	brown
GRMZM2G022313	midnightblue
GRMZM2G022318	grey
GRMZM2G022359	black
GRMZM2G022413	turquoise
GRMZM2G022538	red
GRMZM2G022558	yellow
GRMZM2G022571	red
GRMZM2G022629	black
GRMZM2G022679	magenta
GRMZM2G022777	red
GRMZM2G022820	blue
GRMZM2G022856	blue
GRMZM2G022926	grey
GRMZM2G022931	tan
GRMZM2G022934	turquoise
GRMZM2G022972	green
GRMZM2G022974	turquoise
GRMZM2G023037	turquoise
GRMZM2G023071	salmon
GRMZM2G023133	turquoise
GRMZM2G023237	green
GRMZM2G023242	brown
GRMZM2G023275	yellow
GRMZM2G023436	yellow
GRMZM2G023534	brown
GRMZM2G023557	green
GRMZM2G023591	turquoise
GRMZM2G023694	black
GRMZM2G023777	turquoise
GRMZM2G023840	turquoise
GRMZM2G023884	blue
GRMZM2G023888	grey
GRMZM2G023921	green
GRMZM2G023983	greenyellow
GRMZM2G024005	turquoise
GRMZM2G024099	turquoise
GRMZM2G024145	blue
GRMZM2G024264	turquoise
GRMZM2G024312	grey
GRMZM2G024437	cyan
GRMZM2G024448	turquoise
GRMZM2G024476	green
GRMZM2G024517	turquoise
GRMZM2G024624	cyan
GRMZM2G024668	brown
GRMZM2G024686	blue
GRMZM2G024690	yellow
GRMZM2G024739	blue
GRMZM2G024838	black
GRMZM2G024858	brown
GRMZM2G024973	turquoise
GRMZM2G024993	greenyellow
GRMZM2G025024	blue
GRMZM2G025123	blue
GRMZM2G025127	black
GRMZM2G025154	black
GRMZM2G025171	turquoise
GRMZM2G025243	blue
GRMZM2G025409	turquoise
GRMZM2G025518	green
GRMZM2G025592	brown
